Id;Nazwa;Rodzaj
100;03 Przepompownia ścieków "Boga;Obiekt
101;04 Przepompownie ścieków "Jeli;Obiekt
102;05 Przepompownie ścieków "Zasp;Obiekt
103;06 Przepompownie ścieków "Letn;Obiekt
104;07 Przepompownie ścieków "Zało;Obiekt
105;08 Przepompownie ścieków "Stog;Obiekt
106;09 Przepompownie ścieków "Zawi;Obiekt
107;10 Przepompownie ścieków "P-2";Obiekt
108;11 Przepompownie ścieków "P-1";Obiekt
109;12 Przepompownie ścieków "Maki;Obiekt
110;13 Przepompownie ścieków "Brze;Obiekt
111;14 Przepompownie ścieków "Czar;Obiekt
112;15 Przepompownie ścieków "Łowi;Obiekt
113;16 Przepompownie ścieków "Żakó;Obiekt
114;17 Przepompownie ścieków "Byse;Obiekt
115;18 Przepompownie ścieków "Niwk;Obiekt
116;19 Przepompownie ścieków "Modr;Obiekt
117;20 Przepompownie ścieków "Modr;Obiekt
118;21 Przepompownie ścieków "Rudn;Obiekt
119;22 Przepompownie ścieków "Rudn;Obiekt
120;23 Przepompownie ścieków "Rudn;Obiekt
121;24 Przepompownie ścieków "Rudn;Obiekt
122;25 Przepompownie ścieków "Rudn;Obiekt
123;26 Przepompownie ścieków "Rudn;Obiekt
124;27 Przepompownie ścieków "Rudn;Obiekt
125;28 Przepompownie ścieków "Tarc;Obiekt
126;29 Przepompownie ścieków "Nieg;Obiekt
127;30 Przepompownie ścieków "Letn;Obiekt
128;31 Przepompownie ścieków "Kacz;Obiekt
129;32 Przepompownie ścieków "Szcz;Obiekt
130;34 Przepompownie ścieków "P-1;Obiekt
131;35 Przepompownie ścieków "P-2;Obiekt
132;36 Przepompownie ścieków "P-3;Obiekt
133;37 Przepompownie ścieków "P-4;Obiekt
134;38 Przepompownie ścieków "P-5;Obiekt
135;39 Przepompownie ścieków "P-8;Obiekt
136;40 Przepompownie ścieków "Myśl;Obiekt
137;41 Przepompownie ścieków "Rudn;Obiekt
138;42 Przepompownie ścieków "Otom;Obiekt
139;43 Przepompownie ścieków "P-14;Obiekt
140;46 Przepompownia ścieków "Iław;Obiekt
141;45 Przepompownie ścieków "Tarc;Obiekt
142;44 Przepompownie ścieków "P-15;Obiekt
143;01 Pozostałe środki infrastruk;Obiekt
144;02 Nakłady na obcym gruncie;Obiekt
145;03 Baza wodomierzowa w Osowie;Obiekt
146;04 Baza "Malczewskiego";Obiekt
147;05 Baza eksploatacyjna "Zawiśl;Obiekt
148;06 Magazyn wodomierzowni ul. R;Obiekt
149;07 Środki trwałe inne;Obiekt
150;F21 Ujęcie wody Port Lotniczy;Obiekt
151;F22 Ujęcie Wody "Kalina";Obiekt
152;F23 Ujęcie wody "Smęgorzyno";Obiekt
153;G12 Pompownia wody "Jasień" -K;Obiekt
154;H20 Hydrofornia "Porębskiego";Obiekt
155;61 Przepompownia ścieków "Lite;Obiekt
156;62 Przepompownia ścieków "Gabr;Obiekt
157;63 Przepompownia ścieków "Grab;Obiekt
158;G13 Przepompownia wody "Migowo;Obiekt
159;64 Przepompownia ścieków "Jodł;Obiekt
160;06 Kolektor "Uczniowska";Obiekt
161;05 Kolektor tł. od Przep.Gł.Za;Obiekt
162;78 Przepompownia ścieków "Do S;Obiekt
163;65 Przepompownia ścieków "Byse;Obiekt
164;73 Przepompownia ścieków "Nadm;Obiekt
165;74 Przepompownia ścieków "Zasp;Obiekt
166;79 Przepompownia ścieków "Stud;Obiekt
167;81 Przepompownia ścieków "Prze;Obiekt
168;07 Rurociąg od PŚ Bogatka do Z;Obiekt
169;82 Przepompownia ścieków "Narw;Obiekt
170;83 Przepompownia ścieków "Prom;Obiekt
171;84 Przepompownia ścieków "Błoń;Obiekt
172;85 Przepompownia ścieków "Jaśm;Obiekt
173;86 Przepompownia ścieków "Brat;Obiekt
174;87 Przepompownia ścieków "Zeni;Obiekt
175;88 Przepompownia ścieków "Nowa;Obiekt
176;90 Przepompownia ścieków "Krót;Obiekt
177;89 Przepompownia ścieków "Kacz;Obiekt
178;G15 Pompownia wody "Warszawska;Obiekt
179;66 Przepompownia ścieków "Wdzy;Obiekt
180;67 Przepompownia ścieków "Gopl;Obiekt
181;68 Przepompownia ścieków "Somi;Obiekt
182;G14 Pompownia wody "Przemian";Obiekt
183;69 Przepompownia ścieków "Kolo;Obiekt
184;71 Przepompownia ścieków "Pomo;Obiekt
185;M - Magazyn SNG;Obiekt
186;ul. Sandomierska 58;Obiekt
187;75 Przepompownia ścieków "Nowi;Obiekt
188;80 Przepompownia ścieków PS-2;Obiekt
189;F24 Ujęcie wody "Zakoniczyn";Obiekt
190;G16 Pompownia wody "Królowej B;Obiekt
191;70 Przepompownia ścieków "Kamp;Obiekt
192;91 Przepompownia ścieków "Życz;Obiekt
193;J06 - ogólne CHP i ITPO;Obiekt
194;92 Przepompownia ścieków "Masz;Obiekt
195;93 Przepompownia ścieków "Masz;Obiekt
196;08 Kolektor "Ołowianka Wschód;Obiekt
197;94 Przepompownia ścieków "Kolo;Obiekt
198;95 Przepompownia ścieków "Żabi;Obiekt
199;96 Przepompownia ścieków "Przy;Obiekt
200;97 Przepompownia ścieków "Łapi;Obiekt
201;98 Przepompownia ścieków "Rzec;Obiekt
202;99 Przepompownia ścieków "Trak;Obiekt
203;a100 Przepompownia ścieków "Św;Obiekt
204;a101 Przepompownia ścieków "Św;Obiekt
205;a102 Przepompownia ścieków "Św;Obiekt
206;a103 Przepompownia ścieków "Cz;Obiekt
207;77 Przepompownia ścieków "Tarc;Obiekt
208;a104 Przepompownia ścieków "Wo;Obiekt
209;H22 Hydrofornia "Chełm" -Witos;Obiekt
210;I09 Zbiornik wody "Kiełpino";Obiekt
211;J04 - Energia odnawialna CHP;Obiekt
212;J05 - Przekształcanie osadów I;Obiekt
213;a105 Przepompownia ścieków "Wi;Obiekt
214;a106 Przepompownia ścieków "Ne;Obiekt
215;G18 Przepompownia wody "Cedrow;Obiekt
216;F32 Ujęcie wody "Maszynowa" -;Obiekt
217;F33 Ujęcie wody (plan) "Kiełpi;Obiekt
218;a108 Przepompownia ścieków "Do;Obiekt
219;H23 Hydrofornia "Paganiniego/K;Obiekt
220;a107 Przepompownia ścieków "Po;Obiekt
221;a110 Przepompownia ścieków PS2;Obiekt
222;a111 Przepompownia ścieków "Os;Obiekt
223;a112 Przepompownia ścieków "Ma;Obiekt
224;a109 Przepompownia ścieków "Gó;Obiekt
225;Fontanna - Rajska;Obiekt
226;Magazyn - Dragana;Obiekt
227;a113 Przepompownia ścieków "Wr;Obiekt
228;a114 Przepompownia ścieków "Ga;Obiekt
229;Gdański Szlak Wodociągowy;Obiekt
230;F25 Ujęcie wody "Pleniewo";Obiekt
231;F26 Ujęcie wody "Kiełpinek";Obiekt
232;F27 Ujecie wody "Ujeścisko";Obiekt
233;F28 Ujęcie wody "Św. Wojciech";Obiekt
234;76 Przepompownia ścieków "Zawo;Obiekt
235;I10 Zbiornik wieżowy wody "Kaz;Obiekt
236;a115 Przepompownia ścieków "St;Obiekt
237;a116 Przepompownia ścieków PS1;Obiekt
238;a118 Przepompownia ścieków "Św;Obiekt
239;a119 Przepompownia ścieków "Wy;Obiekt
240;a120 Przepompownia ścieków "Cz;Obiekt
241;Magazyn - OŚ Wschód obiekt 125;Obiekt
242;Rycerska;Obiekt
243;Pozostałe;Obiekt
244;Stary Sobieski;Obiekt
245;G02 Stacja pomp "Ptasia" 19;Obiekt
246;H08 Hydrofornia "Zaspa D" 24;Obiekt
247;G03 Pompownia wody "Maćki" 26;Obiekt
248;72 Przepompownia ścieków "Koch;Obiekt
249;Komercja - obiekty;Obiekt
250;Pomorska;Obiekt
251;G17 Przepompownia wody "Sobies;Obiekt
252;a117 Przepompownia ścieków "Cz;Obiekt
253;nieustalone;Obiekt
259;H25 Hydrofornia "Grunwaldzka";Obiekt
260;G19 Stacja podnoszenia ciśnien;Obiekt
261;H24 Hydrofornia "Unruga"- Piot;Obiekt
262;Malczewskiego;Obiekt
263;Budynek dydaktyczny na ITPO;Obiekt
264;a123 Przepompownia ścieków PM-;Obiekt
265;a121 Przepompownia ścieków "Go;Obiekt
266;;Obiekt
267;a122 Przepompownia ścieków "Pa;Obiekt
268;Zbiornik Kazimierz - wyposażen;Obiekt
269;Stara Orunia;Obiekt
270;Przedmioty muzealne;Obiekt
271;IWAMA;Obiekt
272;a124 Przepompownia ścieków "Ni;Obiekt
273;a125 Przepompownia ścieków "Le;Obiekt
274;Promocja i edukacja;Obiekt
275;a126 Przepompownia ścieków "Ch;Obiekt
276;a127 Przepompownia ścieków "Ch;Obiekt
277;a128 Przepompownia ścieków "Bu;Obiekt
278;a129 Przepompownia ścieków "Bu;Obiekt
279;a130 Przepompownia ścieków "Ku;Obiekt
280;a131 Przepompownia ścieków "Św;Obiekt
281;a132 Przepompownia ścieków "Ba;Obiekt
282;08 Mobilne urządzenia po Jambo;Obiekt
283;a133 Przepompownia ścieków PS-;Obiekt
284;a134 Przepompownia ścieków PS1;Obiekt
285;a135 Przepompownia ścieków PS-;Obiekt
286;a136 Przepompownia ścieków "My;Obiekt
287;a137 Przepompownia ścieków PS-;Obiekt
1991;Przebudowa kanalizacji sanitarnej DN300 w ul. Al. Rzeczypospolitej w Gdańsku.;Zadanie
1992;Przebudowa magistrali straszyńskiej (SUW Straszyn - K20);Zadanie
1993;OŚ Wschód - Ob. Nr 108 
Stacja odwadniania - wymiana przenośników ślimakowych osadu odwodnionego wraz z montażem pompy typ Putzmeister;Zadanie
1994;UW Pręgowo - Odbudowa ujęcia wody Dolina Ostróżki;Zadanie
1995;Kompleksowa modernizacja SUW Straszyn;Zadanie
1996;OŚ Wschód Pompownia Odcieków Ob. 105/30 - Wymiana pomp ściekowych w pompowni odcieków;Zadanie
1997;Likwidacja ujęcia wody Matarnia - Budowa SPC Matarnia;Zadanie
1998;OŚW - Zbiornik pośredni osadu przefermentowanego Ob. nr 17 - montaż mieszadła;Zadanie
1999;Likwidacja UW Klukowo;Zadanie
2000;Wymiana sieci wodociągowej DN żel. I DN 200 AC oraz przyłączy wodociągowych do budynków 46, 74, 82, 84 w ul. Karłowicza po istniejącej trasie;Zadanie
2001;Likwidacja UW Kalina;Zadanie
2002;Hydrofornia Niedźwiednik - Modernizacja układu technologicznego i montaż zestawu hydroforowego;Zadanie
2003;UW Polanki  - zagospodarowanie terenu zlikwidowanego ujęcia i SUW ;Zadanie
2004;Renowacja magistrali pręgowskiej O 418mm - etap I Straszyn- Orunia;Zadanie
2006;Budowa kanalizacji sanitarnej w dzielnicy Smęgorzyno;Zadanie
2009;Przeniesienie przepływomierza DN100 oraz szafy telemetrycznej ze studni nr 3 na UW Złota Karczma do komory reduktora na ul. Niegowo;Zadanie
2010;Budowa kanalizacji sanitarnej w ul. Przegalińskiej;Zadanie
2011;Budowa kanalizacji sanitarnej w ul. Feliksa Muzyka;Zadanie
2012;Przebudowa sieci kanalizacji sanitarnej w ul. Klonowicza w Gdańsku;Zadanie
2013;Zabezpieczenie studni zbiorczej nieczynnego drenażowego ujęcia wody Dolina Radości ;Zadanie
2015;Przebudowa kolektorów sanitarnych "Sopot - Zaspa" w Gdańsku ;Zadanie
2016;OŚ Wschód - Rozbudowa tymczasowego magazynu osadu odwodnionego;Zadanie
2017;"Montaż reduktora ciśnień wraz z budową komory przy ul. Niegowo na przewodzie wodociągowym (DN100-wariant I lub DN200-wariant II)";Zadanie
2018;Włączenie wodociągu DN100 w magistralę DN400 przy skrzyżowaniu ulic Barniewickiej i Pegaza w dzielnicy Osowa;Zadanie
2019;Układ tranzytowy z pś. "Bogatka" - część morska - Modernizacja układu dyfuzorów ścieków w Zatoce Gdańskiej;Zadanie
2020;Pompownia Wody Kiełpino - Zmiana sposobu zaopatrzenia w wodę sieci lokalnych w dzielnicach Kiełpino i Smęgorzyno oraz awaryjnego zasilania odbiorców zaopatrywanych z magistrali Osowa-Kiełpino.;Zadanie
2021;Wykonanie odprowadzenia ścieków technologicznych z ITPO.;Zadanie
2022;Budowa magistrali wzdłuż Trasy Sucharskiego;Zadanie
2023;Montaż zaworu napowietrzająco-odpowietrzającego na wodociągu 225PE ul. Biegańskiego 12.;Zadanie
2025;Modernizacja pomieszczenia rozdzielni głównej PŚ Bysewo;Zadanie
2026;Budowa komory pomiarowej ciśnienia i przepływu wody wraz z reduktorem ciśnień na proj. Wodociągu DN250 Przy ul. Budowlanych;Zadanie
2027;Podłącznie kompleksu obiektów PW Migowo do miejskiej sieci ciepłowniczej.;Zadanie
2028;Naprawa bioreaktorów w Oczyszczalni Ścieków Wschód;Zadanie
2030;Przebudowa sieci wodociągowych w ul. Słowackiego (żeliwo 150, PE 110);Zadanie
2031;Kanalizacja Sanitarna Wyspy Sobieszewskiej - zadanie IV, etap I;Zadanie
2032;Kanały ścieków oczyszczonych i surowych - uszczelnienie dylatacji;Zadanie
2033;Kanalizacja sanitarna - rejon ulic Pelczara, Leszczynowej, Jabłoniowej;Zadanie
2034;Sieć wodociągowa i kanalizacja sanitarna - rejon ulicy Matemblewskiej, Tischnera, Waldorffa;Zadanie
2036;Kanalizacja sanitarna dla dzielnicy Chełm-Południe rejon ulic Łucznicza, Olimpijska, Saneczkarska, Łyżwiarska, Tenisowa i Podleckiego;Zadanie
2037;Przebudowa wodociągu w dzielnicy Osowa w okolicy ul. Spacerowej i Kielnieńskiej;Zadanie
2038;Budowa sieci wodociągowej w ul. Biegańskiego w Gdańsku oraz przełączenie budynków nr 3, 4, 6, 8, 10, 12 do strefy zbiornika Migowo;Zadanie
2039;Modernizacja sieci wod-kan w dzielnicy Letnica w Gdańsku;Zadanie
2041;Przebudowa kanalizacji sanitarnej w ul. Uczniowskiej 50 i 52 w Gdańsku;Zadanie
2042;Budowa sieci wodociągowej w ul. Radarowej;Zadanie
2043;Budowa sieci wodociągowej  z przyłączami w ul. Pagórkowej;Zadanie
2046;Budowa sieci kanalizacji sanitarnej w rejonie ul. Gdańskiej i Uczniowskiej w Gdańsku;Zadanie
2048;Likwidacja ujęcia lokalnego Jasień;Zadanie
2049;Przebudowa kanalizacji deszczowej na OŚW w związku z kolizją z ks ITPO;Zadanie
2051;Przebudowa wodociągu w ul. Świętokrzyskiej - likwidacja AC.;Zadanie
2052;Budowa rurociągu przesyłowego koagulanta PIX do stacji odwadniania osadów na Oczyszczalni Ścieków Wschód;Zadanie
2053;Budowa Przepompowni Wody Spacerowa;Zadanie
2055;Budowa sieci wodociągowej i kanalizacyjnej na obszarze Wyspy Spichrzów;Zadanie
2056;ZW Orunia - Modernizacja układu zasilania w wodę zbiorników nr 1, 2, 3 i 4;Zadanie
2057;Wymiana stalowych wywietrzaków grawitacyjnych na UW Czarny Dwór;Zadanie
2059;SUW Lipce - Przebudowa rurociągu technologicznego DN600;Zadanie
2060;PŚ Ołowianka - Montaż zasuwy nożowej na dopływie do przepompowni ;Zadanie
2061;Budowa przepompowni ścieków Wielopole;Zadanie
2062;PŚ Ołowianka - Wykonanie oświetlenia zewnętrznego terenu przepompowni i budowa systemu telewizji dozorowej CCTV wraz z montażem kamer systemu CCTV;Zadanie
2063;Wymiana zabezpieczeń nadprądowych w rozdzielni 15/6kV w stacji trafo T-16107 - PŚ Motława;Zadanie
2064;UW Pręgowo - Wymiana wyeksploatowanych drenów;Zadanie
2065;Montaż osłony dźwiękochłonnej na bramie wjazdowej hali pomp;Zadanie
2066;Modernizacja komory zasuw na terenie UW Pręgowo;Zadanie
2067;UW Osowa - Przystosowanie istniejącego agregatu prądotwórczego do samostartu;Zadanie
2068;UW Oczyszczalnia Wschód - Przebudowa układu odprowadzania wód technologicznych;Zadanie
2069;Rozbudowa systemu wizualizacji - przepompownia ścieków UW Czarny Dwór;Zadanie
2070;Budowa systemu monitoringu TV terenu SUW Czarny Dwór;Zadanie
2071;PŚ Motława - wymiana elektronapędów do zasuw nr 13 i 16 na układzie tłocznym DN 1000 (2 szt.);Zadanie
2072;PŚ Motława - Wymiana zasuwy na dopływie do krat;Zadanie
2073;PŚ Kolorowa - modernizacja przepompowni;Zadanie
2074;Modernizacja pompowni osadu zmieszanego na Oczyszczalni Wschód, obiekt 122/13;Zadanie
2075;Wymiana pomp osadu po strącaniu chemicznym fosforanów na Oczyszczalni Wschód, obiekt 18/4;Zadanie
2076;Przebudowa kanału sanitarnego w ul. Chlebnickiej ;Zadanie
2077;PW Św. Wojciech II - kontynuacja modernizacji układu technologicznego i montaż zestawu hydroforowego wraz z układem sterowania;Zadanie
2079;Przebudowa układu technologicznego komory zasuw ZW Sobieski;Zadanie
2080;ZW Migowo - Modernizacja pomiarów poziomu wody w zbiornikach ZW 3 i ZW 4;Zadanie
2081;Ob. nr 101 - Budynek krat - wymiana przykrycia i naprawa ścian kanałów i komory rozprężnej, wymiana zastawek, wykonanie nowych balustrad ze stali kwasoodpornej;Zadanie
2082;Ob. nr 123 - zwężka pomiarowa na odpływie - wymiana wyeksploatowanego pomiaru przepływu;Zadanie
2083;Wykonanie odpowietrzenia za komorą rozprężną sieci kanalizacji sanitarnej odprowadzajacej ścieki z gminy Żukowo ;Zadanie
2086;Zakup zasilacza UPS na przepompownię ścieków Ołowianka;Zadanie
2087;Przebudowa układu kanalizacji wód deszczowych UW Czarny Dwór;Zadanie
2088;Hydrofornia Karpacka - wzmocnienie posadowienia budynku.;Zadanie
2089;Zakup falownika pompy osadu wirówki nr 3.;Zadanie
2090;Budowa kanalizacji sanitarnej w dzielnicy Kiełpino - rejon ulic Charzykowskiej i Łapalickiej;Zadanie
2091;Budowa kanalizacji sanitarnej w ul. Kampinoskiej;Zadanie
2093;Wymiana przyłączy wodociągowo-kanalizacyjnych do budynku GZNK przy ulicy Brzegi 9;Zadanie
2094;Montaż hydrantów DN80 - Przewód wodociągowy w ul. Biologiczna 4, ul. Do Studzienki 49, ul. Gnieźnieńska 55, ul. Grodzieńska 12, ul. Kochanowskiego 70, ul. Kopalniana 12, ul. Myśliborska 4, ul. Nobla 14, ul. Nowy Świat 26, ul. Orłowska 6, ul. Otwarta ;Zadanie
2096;Likwidacja nieczynnych zdrojów;Zadanie
2097;Montaż 2 zdrojów na terenie dzielnicy Olszynka;Zadanie
2098;Modernizacja sieci wodociągowej w rejonie ul. Świtezianki;Zadanie
2099;Obiekt 125 - Modernizacja wentylacji i pomieszczeń podłączenie do systemu ogrzewania OS Wschód.;Zadanie
2101;Budowa komory pomiarowej przy ul. Wyzwolenia na projektowanej magistrali DN300 w kierunku ul. Ku ujściu.;Zadanie
2102;Budowa sieci wodociągowej i kanalizacyjnej w ulicy Stokłosy;Zadanie
2103;Wymiana sieci wodociągowej wraz z przyłączami stalowymi oraz budowa sieci kanalizacji sanitarnej - ul. Poznańska;Zadanie
2105;Budowa kanału sanitarnego o łącznej długości ok. 2650 m wraz z przepompownią ścieków Ku Ujściu -  skanalizowanie terenów portowych;Zadanie
2106;Wymiana wyesploatowanego kotła c.o. w budynku socjalnym PŚ Motława na węzeł c.o. Budowa przyłącza cieplnego.;Zadanie
2107;Budowa kanalizacji technologicznej na terenie SUW Smęgorzyno;Zadanie
2108;Obiekt 118  OŚ "Wschód" - Modernizacja rozdzielni głównej niskiego napięcia w stacji transformatorowej T-2.;Zadanie
2109;UW Straszyn - wymiana wyeksploatowanego falownika zasilającego pompę wody do płukania filtrów (110kW, 0,4kV);Zadanie
2110;SUW Straszyn - Wykonanie urządzeń pomiarowych odprowadzających wodę z terenu ujęcia  ;Zadanie
2111;SUW Straszyn - Laguny i poletka osadowe wraz z  garażami - Likwidacja obiektu i rekultywacja terenu.;Zadanie
2112;SUW Straszyn - Hala sit -Wymiana 1 szt. sita obrotowego;Zadanie
2114;UW Osowa - Wypiętrzenie studni 1, 2A, 3, 4A, 5,  6, 7, 9 do powierzchni terenu wraz z wymianą obudów na naziemne;Zadanie
2115;Adaptacja pomieszczeń na terenie SUW Lipce. Baza - zaplecze socjalne brygad EN i EP na terenie SUW Lipce;Zadanie
2116;Modernizacja układu technologicznego ujęcia wody Oczyszczalnia Wschód wraz z przebudową układu odprowadzania wód technologicznych;Zadanie
2118;UW Czarny Dwór - likwidacja istniejących studni M-3, M-5, 1B, 3A i 30A  i odwierty studni zastępczych ;Zadanie
2119;Wykonanie nowej kanalizacji awaryjnego przelewu ze zbiorników wody czystej do rowu melioracyjnego UW Czarny Dwór;Zadanie
2120;PW Polanki - przebudowa pompowni wody;Zadanie
2121;SUW "Łostowice" -Likwidacja budynku i instalacji technologicznej SUW.;Zadanie
2122;UW Smęgorzyno - Wymiana instalacji technologicznej wewnętrznej napływu na zbiornik i przelewu ze zbiornika wraz modernizacją instalacji odpowietrzania i wentylacji zbiornika ;Zadanie
2123;Likwidacja ujęcia wody i SUW Port Lotniczy;Zadanie
2125;Grodza Kamienna - Uczynnienie ujęcia -Grodza B;Zadanie
2126;Budowa UW i SUW Kokoszki;Zadanie
2127;Likwidacja obiektu Ujęcia Chełm;Zadanie
2128;Likwidacja nieczynnej studni (samowypływ);Zadanie
2129;Likwidacja Przepompowni Wody Święty Wojciech - ul. Trakt Św. Wojciecha (koło stolarni);Zadanie
2130;Ochrona przeciwwilgociowa budynku pompowni wody Ptasia;Zadanie
2131;Hydrofornia Bydgoska - likwidacja obiektu.;Zadanie
2132;Modernizacja hydroforni Witosa i Sieci II strefy za hydrofornią;Zadanie
2133;Hydrofornia Dragana - likwidacja obiektu;Zadanie
2134;ZW Migowo - Modernizacja pomiarów poziomu wody w zbiornikach ZW 1 i ZW 2;Zadanie
2135;Uszczelnienie komory zasuw zbiorników wody 1 i 2 - ZW Orunia;Zadanie
2136;Montaż regulatora ciśnień w komorze zasuw ZW Orunia;Zadanie
2138;ul. Miałki Szlak - przebudowa sieci wodociągowej DN 150 AC;Zadanie
2139;Wykonanie przebudowy wodociągu DN 250 z przepięciem do DN 300 wraz z likwidacją odcinka DN 250 od wpięcia do magistrali straszyńskiej do ul. Świętokrzyskiej/Łódzka;Zadanie
2140;Przebudowa ok. 50 mb sieci wodociągowej w ul. Toruńskiej wraz z izolacją i konstrukcją wsporczą (w moście nad Nową Motławą);Zadanie
2141;Montaż reduktora ciśnienia w ul. Wileńskiej/Myczkowskiego;Zadanie
2145;Budowa komory pomiarowej monitoringu sieci wodociągowej na przewodzie DN 160 w ul. Czermińskiego;Zadanie
2150;Poprawa warunków zasilania dzielnicy Matemblewo i Niedźwiednik;Zadanie
2152;Przebudowa wodociągu DN50 AC biegnącego po terenach prywatnych na wodociąg DN 125 oraz budowa kanalizacji sanitarnej w ul. Drawskiej;Zadanie
2153;Budowa sieci wodociągowej w rejonie ul. Cienistej i Kolonii Anielinki;Zadanie
2154;Montaż zdrojów na terenie gdańskiej starówki           ;Zadanie
2155;Budowa magistrali wodociągowej DN 300 ul. Miałki Szlak - ul. Zagroble;Zadanie
